Iteration	Fold	Weighted accuracy	Unweighted accuracy
0	0	0.8544152744630071	0.8526315789473684
0	1	0.7534693877551021	0.8677248677248677
0	2	0.8687727825030377	0.8526315789473684
0	3	0.8792270531400966	0.8770053475935828
0	4	0.8053763440860215	0.8571428571428571
0	5	0.8002136752136753	0.7967914438502673
0	6	0.8129722921914357	0.8594594594594595
0	7	0.8455730954015099	0.8457446808510638
0	8	0.8587819947043248	0.8186813186813187
0	9	0.8285181733457595	0.8773006134969326
1	0	0.8133198789101918	0.8631578947368421
1	1	0.5503062117235346	0.8415300546448088
1	2	0.6816479400749064	0.8412698412698413
1	3	0.8536009445100354	0.8783068783068783
1	4	0.9698097601323408	0.8279569892473119
1	5	0.9121338912133892	0.8674033149171271
1	6	0.895959595959596	0.8776595744680851
1	7	0.7992307692307692	0.8457446808510638
1	8	0.9417535254445125	0.88268156424581
1	9	0.7948571428571428	0.7941176470588235
2	0	0.8764940239043825	0.8804347826086957
2	1	0.8597464342313788	0.9021739130434783
2	2	0.8072502210433244	0.8670212765957447
2	3	0.8960205391527599	0.8722222222222222
2	4	0.7321772639691715	0.8148148148148148
2	5	0.7382230172927847	0.824468085106383
2	6	0.7709844559585493	0.8031914893617021
2	7	0.8609904430929627	0.8609625668449198
2	8	0.892136681762042	0.851063829787234
2	9	0.8828193832599119	0.8682634730538922
3	0	0.6524633821571239	0.7967914438502673
3	1	0.74079874706343	0.8518518518518519
3	2	0.7918340026773761	0.8473684210526315
3	3	0.8994668697638994	0.8157894736842105
3	4	0.9171597633136095	0.8626373626373627
3	5	0.8351012536162006	0.824468085106383
3	6	0.9222520107238605	0.8972972972972973
3	7	0.8753229974160207	0.8877005347593583
3	8	0.9507972665148063	0.8693181818181818
3	9	0.675764192139738	0.9230769230769231
4	0	0.7429305912596401	0.8421052631578947
4	1	0.8418657565415245	0.8578947368421053
4	2	0.9309727471653073	0.8148148148148148
4	3	0.8830823737821081	0.8716577540106952
4	4	0.8858603066439523	0.8571428571428571
4	5	0.8701570680628272	0.8829787234042553
4	6	0.8640533778148457	0.8370786516853933
4	7	0.8410094637223975	0.8670212765957447
4	8	0.5659630606860159	0.8666666666666667
4	9	0.855072463768116	0.8780487804878049

tokseq	label	cv_label	cv_count	corpus_count	cv_predicted[0]	cv_predicted[1]
('broncial',)	None	None	0	0	0	0
('associated',)	None	None	0	3	0	0
('broncial', 'associated')	None	None	0	0	0	0
('subcapsular',)	anatomical	None	0	0	0	0
('sinus',)	anatomical	anatomical	5	1	5	0
('alternatively',)	None	None	0	3	0	0
('DN1',)	None	None	0	2	0	0
('preT.DN1.Th',)	None	None	0	0	0	0
('pro-T-lymphocyte',)	None	None	0	0	0	0
('pro-T-cell',)	None	None	0	0	0	0
('Th0',)	None	None	0	1	0	0
('thymus-derived',)	None	None	0	2	0	0
('T.4Nve',)	None	None	0	0	0	0
('.',)	None	None	0	7	0	0
('Sp',)	molecular signaling	None	0	0	0	0
('T.4Nve', '.')	None	None	0	0	0	0
('Th17',)	None	None	0	6	0	0
('T(H)-17',)	None	None	0	0	0	0
('IL-17-producing',)	None	None	0	0	0	0
('17',)	variant	variant	5	11	5	0
('thymus-dervied',)	None	None	0	0	0	0
('Tr1',)	None	None	0	1	0	0
('T-regulatory',)	None	None	0	2	0	0
('induce',)	state	role	5	10	0	5
('iTreg',)	molecular signature	molecular signaling	4	1	1	4
('nTreg',)	None	None	0	0	0	0
('effector',)	role	role	5	91	5	0
('cytokine',)	molecular signaling	None	0	0	0	0
('CD8-alpha-alpha-positive',)	molecular signature	None	0	0	0	0
('detc',)	None	None	0	0	0	0
('T-cytotoxic',)	None	None	0	0	0	0
('Tc1',)	None	None	0	1	0	0
('non-TFH',)	None	None	0	0	0	0
('Th1', 'non-TFH')	None	None	0	0	0	0
('Tc2',)	None	None	0	1	0	0
('Th2', 'non-TFH')	None	None	0	0	0	0
('CD8+CD25',)	molecular signature	None	0	0	0	0
('CD8+CD25', '+')	molecular signature	None	0	0	0	0
('CD28-negative',)	molecular signature	None	0	0	0	0
('CD8+CD28-',)	molecular signature	None	0	0	0	0
('type', 'I')	variant	variant	5	10	5	0
('II',)	variant	variant	5	4	5	0
('type', 'II')	variant	variant	5	22	5	0
('interferon-gamma',)	molecular signaling	None	0	0	0	0
('IFN-gamma',)	molecular signaling	None	0	0	0	0
('interleukin-4',)	molecular signaling	None	0	0	0	0
('IL-4',)	molecular signaling	None	0	0	0	0
('lymphoid-primed',)	None	None	0	2	0	0
('pre-natural', 'killer')	role	None	0	0	0	0
('pre-NK',)	role	None	0	0	0	0
('CD56-bright',)	molecular signature	None	0	0	0	0
('CD16-negative',)	molecular signature	None	0	0	0	0
('human',)	species	anatomical	3	79	0	5
('CD16-CD56bright',)	molecular signature	None	0	0	0	0
('CD16-positive',)	molecular signature	None	0	0	0	0
('CD56-dim',)	molecular signature	None	0	0	0	0
('CD16+CD56',)	molecular signature	None	0	0	0	0
('CD16+CD56', '+')	molecular signature	None	0	0	0	0
('CD56-positive',)	molecular signature	None	0	0	0	0
('CD56-low',)	molecular signature	None	0	0	0	0
('invariant',)	state	state	5	25	5	0
('Be1',)	None	None	0	0	0	0
('Be2',)	None	None	0	0	0	0
('antibody',)	role	role	4	1	4	1
('IgE',)	None	None	0	1	0	0
('IgE', 'B')	None	None	0	0	0	0
('IgD',)	None	None	0	1	0	0
('short', 'live')	developmental	None	0	0	0	0
('preBCR-positive',)	molecular signature	None	0	0	0	0
('pre-B-II',)	None	None	0	0	0	0
('preBCR-negative',)	molecular signature	None	0	0	0	0
('pre-BII',)	None	None	0	0	0	0
('pre-B-lymphocyte',)	None	None	0	0	0	0
('pre-B-I',)	None	None	0	0	0	0
('pre-BI',)	None	None	0	0	0	0
('T1',)	None	None	0	0	0	0
('transitional', 'stage', '1')	developmental	None	0	0	0	0
('T1', 'B')	None	None	0	0	0	0
('T2',)	None	None	0	1	0	0
('transitional', 'stage', '2')	developmental	None	0	0	0	0
('T2', 'B')	None	None	0	0	0	0
('An1',)	None	None	0	0	0	0
('transitional', 'stage', '3')	developmental	None	0	0	0	0
('T3',)	None	None	0	0	0	0
('T3', 'B')	None	None	0	0	0	0
('Bm1',)	molecular signature	None	0	0	0	0
('Bm1', 'B')	molecular signature	None	0	0	0	0
('Bm2',)	molecular signature	None	0	0	0	0
('Bm2', 'B')	molecular signature	None	0	0	0	0
('Bm3-delta',)	molecular signature	None	0	0	0	0
('Bm3-delta', 'B')	molecular signature	None	0	0	0	0
('Bm2-prime',)	molecular signature	None	0	0	0	0
('Bm2', "'")	molecular signature	None	0	0	0	0
('Bm2', "'", 'B')	molecular signature	None	0	0	0	0
('Bm3',)	molecular signature	None	0	0	0	0
('Bm3', 'B')	molecular signature	None	0	0	0	0
('Bm4',)	molecular signature	None	0	0	0	0
('Bm4', 'B')	molecular signature	None	0	0	0	0
('Bm5',)	molecular signature	None	0	0	0	0
('Bm5', 'B')	molecular signature	None	0	0	0	0
('Be',)	None	None	0	0	0	0
('B10',)	None	None	0	2	0	0
('B(reg',)	None	None	0	0	0	0
('breg',)	None	None	0	3	0	0
('unswitched',)	state	state	5	2	5	0
('non-class-switched',)	None	None	0	0	0	0
('IgM',)	None	None	0	0	0	0
('IgM', 'B')	None	None	0	0	0	0
('class',)	variant	variant	5	1	5	0
('class', 'switch')	state	state	5	3	5	0
('IgA',)	molecular signature	molecular signature	4	2	4	1
('long', 'live')	developmental	None	0	0	0	0
('lived',)	None	None	0	1	0	0
('short', 'lived')	None	None	0	0	0	0
('IgG',)	role	molecular signaling	5	2	0	5
('CD27-positive',)	molecular signature	None	0	0	0	0
('CD38-positive',)	molecular signature	None	0	0	0	0
('CD20-negative',)	molecular signature	None	0	0	0	0
('dn',)	None	None	0	0	0	0
('haemopoietic',)	None	None	0	0	0	0
('haematopoietic',)	lineage	lineage	5	10	5	0
('CD11c-low',)	molecular signature	None	0	0	0	0
('cDC',)	None	None	0	3	0	0
('DC1',)	None	None	0	0	0	0
('CD303-positive',)	molecular signature	None	0	0	0	0
('CD11c-negative',)	molecular signature	None	0	0	0	0
('CD34-positive',)	molecular signature	molecular signature	5	2	5	0
('OR',)	None	None	0	0	0	0
('CD8-alpha-negative',)	molecular signature	None	0	0	0	0
('CD11b-positive',)	molecular signature	None	0	0	0	0
('CD8-alpha-negative', 'CD11b-positive')	molecular signature	None	0	0	0	0
('DC.8',)	None	None	0	0	0	0
('-',)	None	None	0	7	0	0
('11b-',)	None	None	0	0	0	0
('DC.8', '-')	None	None	0	0	0	0
('-', '11b-')	None	None	0	0	0	0
('CD11b-negative',)	molecular signature	None	0	0	0	0
('CD8-alpha-negative', 'CD11b-negative')	molecular signature	None	0	0	0	0
('triple',)	None	None	0	0	0	0
('DC.4', '+')	molecular signature	None	0	0	0	0
('CD8-alpha-positive',)	molecular signature	None	0	0	0	0
('CD8-alpha-positive', 'CD11b-negative')	molecular signature	None	0	0	0	0
('Sca1-positive',)	molecular signature	None	0	0	0	0
('LSK',)	None	None	0	1	0	0
('kit',)	molecular signature	None	0	0	0	0
('CD7-negative',)	molecular signature	None	0	0	0	0
('CD1a-positive',)	molecular signature	None	0	0	0	0
('CD1a-LC',)	molecular signature	None	0	0	0	0
('CD8-alpha-low',)	molecular signature	None	0	0	0	0
('CD115-positive',)	molecular signature	None	0	0	0	0
('CD10-positive',)	molecular signature	None	0	0	0	0
('Kit-positive',)	molecular signature	None	0	0	0	0
('CD38-negative',)	molecular signature	molecular signature	5	1	5	0
('CD133-positive',)	None	None	0	0	0	0
('CD217-positive',)	molecular signature	None	0	0	0	0
('CD7-positive',)	molecular signature	None	0	0	0	0
('pro-DCs',)	None	None	0	0	0	0
('CDP',)	None	None	0	0	0	0
('CD117-positive',)	molecular signature	None	0	0	0	0
('hippocampal',)	anatomical	anatomical	5	8	5	0
('terminally', 'differentiate')	developmental	developmental	5	6	5	0
('CD8+CXCR3',)	molecular signature	None	0	0	0	0
('CD8+CXCR3', '+')	molecular signature	None	0	0	0	0
('CXCR3-positive',)	molecular signature	None	0	0	0	0
('22',)	variant	None	0	0	0	0
('Th22',)	None	None	0	2	0	0
('T(H)-22',)	None	None	0	0	0	0
('CCR4-positive',)	molecular signature	None	0	0	0	0
('CCR4',)	molecular signature	molecular signature	5	1	5	0
('CCR+',)	molecular signature	None	0	0	0	0
('CXCR3-negative',)	molecular signature	None	0	0	0	0
('CCR6-negative',)	molecular signature	None	0	0	0	0
('IgD-negative',)	molecular signature	None	0	0	0	0
('IgD-',)	molecular signature	None	0	0	0	0
('CD14-positive',)	molecular signature	molecular signature	5	2	5	0
('CD16-low',)	molecular signature	None	0	0	0	0
('oligopotent',)	developmental	stimulus	5	2	0	5
('lineage-negative',)	molecular signature	None	0	0	0	0
('abnormal',)	None	None	0	2	0	0
('temra',)	None	None	0	4	0	0
('neoplastic',)	disease	disease	5	5	5	0
('malignant',)	disease	disease	5	22	5	0
('innate',)	anatomical	state	5	8	0	5
('innate', 'lymphoid')	lineage	lineage	4	34	4	1
('mammalian',)	species	None	0	0	0	0
('group',)	None	None	0	1	0	0
('ILC1',)	molecular signature	molecular signature	5	2	5	0
('ILC2',)	molecular signature	molecular signature	5	4	5	0
('beige',)	appearance	appearance	5	1	5	0
('brite',)	None	None	0	0	0	0
('beige/brite',)	None	None	0	0	0	0
('ILC3',)	molecular signature	molecular signature	5	1	5	0
('CD34-negative',)	molecular signature	None	0	0	0	0
('CD117-positive', 'ilc')	molecular signature	None	0	0	0	0
('CD117-positive', 'ilcp')	molecular signature	None	0	0	0	0
('precusor',)	developmental	None	0	0	0	0
('cilp',)	None	None	0	0	0	0
('KLRG1-positive',)	molecular signature	None	0	0	0	0
('ilc',)	None	None	0	4	0	0
('NKp46-positive',)	molecular signature	None	0	0	0	0
('NKp44-positive',)	molecular signature	None	0	0	0	0
('NKp44-negative',)	molecular signature	None	0	0	0	0
('CD19-positive',)	molecular signature	None	0	0	0	0
('CD19', '+')	molecular signature	molecular signature	5	4	5	0
('CD86-positive',)	molecular signature	None	0	0	0	0
('CD86', '+')	molecular signature	molecular signature	5	1	5	0
('CD45RO-positive',)	molecular signature	None	0	0	0	0
('c-', 'Kit-positive')	molecular signature	None	0	0	0	0
('GlyA-negative',)	molecular signature	None	0	0	0	0
('Kit-low',)	molecular signature	None	0	0	0	0
('MDP',)	None	None	0	1	0	0
('pre-conventional',)	None	None	0	1	0	0
('murine',)	species	None	0	0	0	0
('GlyA-positive',)	molecular signature	None	0	0	0	0
('Kit-negative',)	molecular signature	None	0	0	0	0
('Ly-76',)	None	None	0	0	0	0
('high',)	molecular signature	molecular signature	5	9	5	0
('CD71-low',)	molecular signature	None	0	0	0	0
('GlyA-positive', 'polychromatic')	molecular signature	None	0	0	0	0
('orthochromatophilic',)	appearance	appearance	4	1	4	1
('CD71-negative',)	molecular signature	None	0	0	0	0
('GlyA-positive', 'orthochromatic')	molecular signature	None	0	0	0	0
('positive',)	None	None	0	4	0	0
('CD41-positive',)	molecular signature	None	0	0	0	0
('CD42-positive',)	molecular signature	None	0	0	0	0
('CD42-negative',)	molecular signature	None	0	0	0	0
('CD9-positive',)	molecular signature	None	0	0	0	0
('BMCP',)	None	None	0	0	0	0
('Fc-epsilon',)	molecular signature	None	0	0	0	0
('Fc-epsilon', 'RIalpha-low')	molecular signature	None	0	0	0	0
('Fc-epsilon', 'RIalpha-high')	molecular signature	None	0	0	0	0
('ST',)	molecular signaling	None	0	0	0	0
('ST-HSC',)	None	None	0	0	0	0
('term',)	None	None	0	0	0	0
('short', 'term')	None	None	0	0	0	0
('LT-HSC',)	None	None	0	0	0	0
('long', 'term')	None	None	0	0	0	0
('LT',)	None	None	0	0	0	0
('Slamf1-negative',)	molecular signature	molecular signature	5	1	5	0
('KSL',)	None	None	0	1	0	0
('Slamf1-positive',)	molecular signature	None	0	0	0	0
('iel',)	None	None	0	0	0	0
('alpha', 'beta')	None	None	0	0	0	0
('beta', 'iel')	None	None	0	0	0	0
('alpha', 'beta', 'iel')	None	None	0	0	0	0
('CD2-positive',)	molecular signature	None	0	0	0	0
('CD44-positive',)	molecular signature	None	0	0	0	0
('Tfh',)	None	None	0	2	0	0
('T(FH',)	None	None	0	0	0	0
('I',)	None	None	0	5	0	0
('NKT.44-NK1.1-.Th',)	None	None	0	0	0	0
('iii',)	variant	variant	5	1	5	0
('IV',)	None	None	0	1	0	0
('integrin',)	molecular signature	None	0	0	0	0
('beta7-high',)	molecular signature	None	0	0	0	0
('integrin', 'beta7-high')	molecular signature	None	0	0	0	0
('fraction',)	None	None	0	0	0	0
('pre-pro',)	None	None	0	0	0	0
('fraction', 'A')	None	None	0	0	0	0
('A', 'pre-pro')	None	None	0	0	0	0
('fraction', 'A', 'pre-pro')	None	None	0	0	0	0
('fraction', 'B')	None	None	0	0	0	0
("'",)	None	None	0	6	0	0
('CD38-high',)	molecular signature	None	0	0	0	0
('CD38-high', 'pre-BCR')	molecular signature	None	0	0	0	0
('CD38-high', 'pre-BCR', 'positive')	molecular signature	None	0	0	0	0
('pre-B',)	None	None	0	0	0	0
('fraction', 'D')	None	None	0	0	0	0
('D', 'pre-B')	None	None	0	0	0	0
('fraction', 'D', 'pre-B')	None	None	0	0	0	0
('CD22-positive',)	molecular signature	None	0	0	0	0
('CD38-low',)	molecular signature	None	0	0	0	0
('E',)	None	None	0	2	0	0
('fraction', 'E')	None	None	0	0	0	0
('F',)	None	None	0	1	0	0
('fraction', 'F')	None	None	0	0	0	0
('CD16-',)	molecular signature	molecular signature	5	3	5	0
('Gr1-low',)	molecular signature	None	0	0	0	0
('DC.8+.Th',)	None	None	0	0	0	0
('CD8alpha-alpha-positive',)	molecular signature	None	0	0	0	0
('Th9',)	None	None	0	1	0	0
('T(H)-9',)	None	None	0	0	0	0
('membranous',)	anatomical	None	0	0	0	0
('great',)	None	None	0	0	0	0
('kultschitzky',)	eponym	None	0	0	0	0
('bronchiole',)	anatomical	None	0	0	0	0
('feyrter',)	eponym	None	0	0	0	0
('bronchiolar',)	anatomical	anatomical	5	2	5	0
('respiratory',)	anatomical	anatomical	5	4	5	0
('type', 'A')	variant	variant	5	1	5	0
('cardiacus',)	anatomical	None	0	0	0	0
('conducen', 'cardiacus')	anatomical	None	0	0	0	0
('myocytus', 'conducen', 'cardiacus')	anatomical	None	0	0	0	0
('intestine',)	anatomical	anatomical	5	4	5	0
('vacuolar',)	None	None	0	0	0	0
('vacuolar', 'absorptive')	None	None	0	0	0	0
('colon',)	anatomical	anatomical	5	2	5	0
('pacemaker',)	role	appearance	5	6	0	5
('nodal',)	None	None	0	1	0	0
('P',)	None	None	0	2	0	0
('myocardial',)	anatomical	anatomical	5	1	5	0
('tracheobronchial',)	anatomical	anatomical	5	1	5	0
('tree',)	None	None	0	1	0	0
('endo-epithelial',)	lineage	None	0	0	0	0
('ecto-epithelial',)	None	None	0	0	0	0
('meso-epithelial',)	None	None	0	0	0	0
('ductal',)	anatomical	anatomical	5	9	5	0
('pancreatic', 'ductal')	anatomical	anatomical	5	6	5	0
('centro-acinar',)	anatomical	None	0	0	0	0
('centroacinar',)	None	None	0	0	0	0
('carotid',)	anatomical	None	0	0	0	0
('epiniphrine',)	molecular signaling	None	0	0	0	0
('bottcher',)	eponym	None	0	0	0	0
('bottcher', "'s")	eponym	None	0	0	0	0
('boettcher',)	eponym	None	0	0	0	0
('boettcher', "'s")	eponym	None	0	0	0	0
('stretch',)	None	None	0	0	0	0
('specialized',)	None	None	0	0	0	0
('nongranular',)	None	None	0	0	0	0
('agranular',)	None	None	0	0	0	0
('icc',)	None	None	0	1	0	0
('intestinal',)	anatomical	anatomical	5	29	5	0
('mouse',)	species	state	2	11	1	4
('polar',)	None	None	0	2	0	0
('polocytus',)	None	None	0	0	0	0
('primarius',)	None	None	0	0	0	0
('polocytus', 'primarius')	None	None	0	0	0	0
('first',)	None	None	0	0	0	0
('first', 'polar')	None	None	0	1	0	0
('marrow',)	lineage	lineage	5	7	5	0
('bone', 'marrow')	anatomical	lineage	5	30	0	5
('second',)	None	None	0	5	0	0
('second', 'polar')	None	None	0	0	0	0
('secundarius',)	None	None	0	0	0	0
('polocytus', 'secundarius')	None	None	0	0	0	0
('hilus',)	anatomical	None	0	0	0	0
('hilar',)	anatomical	anatomical	5	1	5	0
('internodal', 'tract')	anatomical	None	0	0	0	0
('cortex',)	anatomical	anatomical	5	5	5	0
('adrenocortical',)	anatomical	None	0	0	0	0
('regular',)	variant	None	0	0	0	0
('zona',)	None	None	0	0	0	0
('glomerulosa',)	None	None	0	0	0	0
('zona', 'glomerulosa')	None	None	0	0	0	0
('interventricular',)	anatomical	None	0	0	0	0
('CD38',)	molecular signature	molecular signature	5	2	5	0
('CD38-',)	molecular signature	None	0	0	0	0
('IgG+',)	molecular signature	molecular signature	5	1	5	0
('IgG-positive',)	molecular signature	None	0	0	0	0
('IgG+', 'dn')	molecular signature	None	0	0	0	0
('IgG-',)	None	None	0	1	0	0
('IgG-', 'dn')	None	None	0	0	0	0
('IgG-negative',)	molecular signature	None	0	0	0	0
('IgD-positive',)	molecular signature	None	0	0	0	0
('B220-positive',)	molecular signature	None	0	0	0	0
('CD38+B220',)	molecular signature	None	0	0	0	0
('CD38+B220', '+')	molecular signature	None	0	0	0	0
('B220+CD38',)	molecular signature	None	0	0	0	0
('B220+CD38', '+')	molecular signature	None	0	0	0	0
('B220-low',)	molecular signature	None	0	0	0	0
('B220-positive', 'CD38-negative')	molecular signature	None	0	0	0	0
('CD38-negative', 'IgG-negative')	molecular signature	None	0	0	0	0
('CD24-positive',)	molecular signature	None	0	0	0	0
('CD24-positive', 'CD38-negative')	molecular signature	None	0	0	0	0
('CD24-negative',)	molecular signature	None	0	0	0	0
('gammadelta27-positive',)	molecular signature	None	0	0	0	0
('gd27-positive',)	molecular signature	None	0	0	0	0
('CD27-negative',)	molecular signature	None	0	0	0	0
('gammadelta-17',)	None	None	0	0	0	0
('Tc17',)	None	None	0	0	0	0
('Th17', 'non-TFH')	None	None	0	0	0	0
('atrial',)	anatomical	anatomical	5	4	5	0
('atrium',)	anatomical	None	0	0	0	0
('interatrial',)	anatomical	None	0	0	0	0
('ventricle',)	anatomical	None	0	0	0	0
('ventricular',)	anatomical	anatomical	5	7	5	0
('ovarian',)	anatomical	anatomical	5	4	5	0
('nonkeratinize',)	None	None	0	0	0	0
('type', 'iii')	variant	variant	5	2	5	0
('lymphatic',)	anatomical	anatomical	5	16	5	0
('lec',)	None	None	0	0	0	0
('skin',)	anatomical	anatomical	5	11	5	0
('sebaceous',)	role	appearance	5	4	0	5
('eccrine', 'sweat')	None	None	0	0	0	0
('capillary',)	anatomical	appearance	5	23	0	5
('multiciliated',)	appearance	appearance	5	5	5	0
('clear', 'chief')	None	None	0	0	0	0
('uterus',)	anatomical	None	0	0	0	0
('epithelioid',)	None	None	0	0	0	0
('epitheloid',)	None	None	0	0	0	0
('endocervix',)	None	None	0	0	0	0
('burr',)	None	None	0	0	0	0
('endosteal',)	anatomical	anatomical	5	1	5	0
('tympanic',)	anatomical	None	0	0	0	0
('membrane',)	anatomical	anatomical	5	1	5	0
('tympanic', 'membrane')	anatomical	None	0	0	0	0
('general',)	None	None	0	7	0	0
('general', 'ecto-epithelial')	None	None	0	0	0	0
('superficial',)	anatomical	state	5	6	0	5
('internal',)	anatomical	anatomical	5	1	5	0
('pillar',)	appearance	appearance	5	7	5	0
('cochlea',)	anatomical	None	0	0	0	0
('malassez',)	None	None	0	0	0	0
('debris',)	None	None	0	0	0	0
('oral',)	anatomical	anatomical	5	2	5	0
('mucosa',)	anatomical	anatomical	5	4	5	0
('globose',)	appearance	appearance	5	1	5	0
('interdental',)	anatomical	anatomical	5	1	5	0
('extraglomerular',)	anatomical	None	0	0	0	0
('cushion',)	appearance	appearance	5	1	5	0
('goormaghtigh',)	None	None	0	0	0	0
('foveolar',)	None	None	0	0	0	0
('proper',)	None	None	0	1	0	0
('granulocytopoietic',)	None	None	0	0	0	0
('monopoietic',)	None	None	0	0	0	0
('oval',)	appearance	appearance	5	1	5	0
('inactive',)	state	state	5	1	5	0
('parathyoid',)	None	None	0	0	0	0
('oxyphil',)	appearance	molecular signaling	5	2	0	5
('askanazy',)	None	None	0	0	0	0
('hurthle',)	eponym	eponym	5	2	5	0
('beta-intercalated',)	None	None	0	0	0	0
('intercalated',)	appearance	appearance	5	6	5	0
('B-IC',)	None	None	0	0	0	0
('tuft',)	appearance	appearance	5	13	5	0
('caveolate',)	None	None	0	0	0	0
('multivesicular',)	None	None	0	0	0	0
('fibrillovesicular',)	None	None	0	0	0	0
('lobular',)	None	None	0	0	0	0
('trachea',)	anatomical	anatomical	5	2	5	0
('bronchus',)	anatomical	anatomical	5	1	5	0
('undifferentiated',)	developmental	lineage	5	4	0	5
('oxidative',)	None	None	0	0	0	0
('twitch',)	None	None	0	0	0	0
('slow', 'twitch')	None	None	0	0	0	0
('slow-twitch',)	None	None	0	0	0	0
('2a',)	None	None	0	0	0	0
('IIa',)	None	None	0	1	0	0
('fatigue',)	None	None	0	0	0	0
('resistant',)	None	None	0	0	0	0
('fatigue', 'resistant')	None	None	0	0	0	0
('fast', 'twitch')	role	None	0	0	0	0
('2b',)	None	None	0	0	0	0
('IIb',)	None	None	0	1	0	0
('dec',)	None	None	0	1	0	0
('anchor',)	None	None	0	0	0	0
('pineal',)	anatomical	None	0	0	0	0
('esophagus',)	anatomical	None	0	0	0	0
('vertebrate',)	None	None	0	0	0	0
('lens',)	None	None	0	7	0	0
('vertebrate', 'lens')	None	None	0	0	0	0
('fibre',)	appearance	appearance	5	6	5	0
('light', 'chief')	stimulus	None	0	0	0	0
('prostate',)	anatomical	anatomical	5	26	5	0
('prostatic',)	anatomical	anatomical	5	5	5	0
('acinus',)	anatomical	None	0	0	0	0
('luminal',)	anatomical	anatomical	5	20	5	0
('testis',)	anatomical	None	0	0	0	0
('ovigerm',)	None	None	0	0	0	0
('septal',)	None	None	0	1	0	0
('pupil',)	anatomical	None	0	0	0	0
('ectocervical',)	None	None	0	0	0	0
('ectocervix',)	anatomical	None	0	0	0	0
('peripheral',)	anatomical	anatomical	5	44	5	0
('PBSC',)	None	None	0	0	0	0
('pleural',)	anatomical	anatomical	5	6	5	0
('pluripotent',)	developmental	developmental	5	26	5	0
('crypt', 'of', 'lieberkuhn')	anatomical	None	0	0	0	0
('canal',)	anatomical	anatomical	5	2	5	0
('alimentary', 'canal')	anatomical	None	0	0	0	0
('endometrial',)	lineage	lineage	5	5	5	0
('endometrium',)	anatomical	None	0	0	0	0
('neuroepithelial',)	lineage	lineage	5	4	5	0
('viscerocranial', 'mucosa')	anatomical	None	0	0	0	0
('colonic',)	anatomical	anatomical	5	7	5	0
('P/D1',)	None	None	0	0	0	0
('vasoactive',)	anatomical	molecular signaling	5	2	0	5
('peptide', 'secreting')	None	None	0	0	0	0
('EC2',)	None	None	0	1	0	0
('EC1',)	None	None	0	1	0	0
('motilin',)	molecular signaling	None	0	0	0	0
('motilin', 'secreting')	molecular signaling	None	0	0	0	0
('histamine',)	None	None	0	0	0	0
('polypeptide-secreting',)	None	None	0	0	0	0
('PP-cell',)	None	None	0	0	0	0
('CCK',)	molecular signaling	None	0	0	0	0
('K',)	None	None	0	1	0	0
('gip',)	molecular signaling	None	0	0	0	0
('L',)	None	None	0	1	0	0
('N',)	None	None	0	2	0	0
('S',)	None	None	0	2	0	0
('TG',)	None	None	0	0	0	0
('A-like',)	None	None	0	0	0	0
('X/A-like',)	None	None	0	0	0	0
('type', 'X')	variant	None	0	0	0	0
('type', 'IV')	variant	None	0	0	0	0
('V',)	variant	None	0	0	0	0
('type', 'V')	variant	None	0	0	0	0
('tongue',)	anatomical	anatomical	5	1	5	0
('Y',)	None	None	0	0	0	0
('chromosome-bearing',)	None	None	0	0	0	0
('Y', 'chromosome-bearing')	None	None	0	0	0	0
('bearing',)	None	None	0	0	0	0
('Y', 'bearing')	None	None	0	0	0	0
('Y-bearing',)	None	None	0	0	0	0
('X-bearing',)	None	None	0	0	0	0
('X',)	None	None	0	1	0	0
('X', 'chromosome-bearing')	None	None	0	0	0	0
('X', 'bearing')	None	None	0	0	0	0
('glomus',)	None	None	0	5	0	0
('thymus',)	anatomical	anatomical	5	3	5	0
('type-1',)	variant	variant	5	1	5	0
('cystic',)	None	None	0	1	0	0
('type-6',)	None	None	0	0	0	0
('mTEC',)	None	None	0	0	0	0
('type-4',)	None	None	0	0	0	0
('type-3',)	variant	None	0	0	0	0
('type-5',)	None	None	0	0	0	0
('pale',)	None	None	0	0	0	0
('type-2',)	variant	variant	5	3	5	0
('spindle',)	appearance	appearance	5	1	5	0
('shape',)	None	None	0	0	0	0
('shape', 'mTEC')	None	None	0	0	0	0
('type-7',)	variant	None	0	0	0	0
('fibroblast-like',)	None	None	0	3	0	0
('PE',)	None	None	0	0	0	0
('ciliary',)	None	None	0	1	0	0
('non-pigmented',)	None	None	0	0	0	0
('non-pigmented', 'ciliary')	None	None	0	0	0	0
('nonpigmented',)	None	None	0	0	0	0
('nonpigmented', 'ciliary')	None	None	0	0	0	0
('npe',)	None	None	0	0	0	0
('tubule',)	anatomical	appearance	5	10	0	5
('distal', 'tubule')	anatomical	anatomical	5	1	5	0
('proximal',)	anatomical	anatomical	5	11	5	0
('proximal', 'tubule')	anatomical	anatomical	5	12	5	0
('mammotrophic',)	None	None	0	0	0	0
('mammotropic',)	None	None	0	0	0	0
('lactotropic',)	None	None	0	0	0	0
('epsilon-acidophil',)	None	None	0	0	0	0
('somatotropic',)	None	None	0	0	0	0
('somatrophic',)	None	None	0	0	0	0
('neuro-epithelial',)	lineage	None	0	0	0	0
('endocrine-paracrine',)	None	None	0	0	0	0
('esc',)	lineage	lineage	5	3	5	0
